provision_id,instrument,instrument_year,provision_type,chapter,section_or_rule,title,topic,summary,relevance_to_ayurveda,relevance_to_traditional_knowledge,relevance_to_biodiversity,relevance_to_patentability,source_url,source_reference,verification_status,notes
IN-PA-S25-1-k,Patents Act,1970,Section,V,25(1)(k),Opposition to the patent (Pre-grant) - anticipation by traditional knowledge,"opposition, traditional knowledge","Pre-grant opposition ground: that the invention so far as claimed in any claim of the complete specification is anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Highest,Highest,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,The primary mechanism used in conjunction with TKDL to oppose bad patents prior to grant.
IN-PA-S25-2-j,Patents Act,1970,Section,V,25(2)(j),Opposition to the patent (Post-grant) - non-disclosure of biological material,"opposition, biological material, disclosure of source/geographical origin",Post-grant opposition ground (within one year): that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Highest,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows challenging a granted patent for biological material source failure.
IN-PA-S25-2-k,Patents Act,1970,Section,V,25(2)(k),Opposition to the patent (Post-grant) - anticipation by traditional knowledge,"opposition, traditional knowledge","Post-grant opposition ground (within one year): that the invention so far as claimed in any claim of the complete specification is anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Highest,Highest,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows challenging a granted patent based on traditional knowledge.
IN-PA-S64-1-p,Patents Act,1970,Section,XI,64(1)(p),Revocation of patents - non-disclosure of biological material,"revocation, biological material, disclosure of source/geographical origin",Ground for revocation: that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Highest,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows revocation of a patent at any time during its term on this ground.
IN-PA-S64-1-q,Patents Act,1970,Section,XI,64(1)(q),Revocation of patents - anticipation by traditional knowledge,"revocation, traditional knowledge","Ground for revocation: that the invention so far as claimed in any claim of the complete specification was anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Highest,Highest,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows revocation of a patent at any time during its term based on traditional knowledge.
IN-PA-S84,Patents Act,1970,Section,XVI,84,Compulsory licences,compulsory licensing,"Any person interested may make an application to the Controller for grant of compulsory licence on patent after three years from date of grant of a patent on grounds including reasonable requirements of public not satisfied, or invention is not available to public at reasonably affordable price, or invention is not worked in the territory of India.",Medium,Low,Low,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Can be utilized if patented medicinal products derived from TK are not accessible to the public.
IN-PA-S138,Patents Act,1970,Section,XXII,138,Supplementary provisions as to convention applications,international/PCT applications,"Provisions detailing the requirements for convention applications, including the furnishing of copies of specifications filed in convention countries and translations if not in English.",Low,Low,Low,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Relevant for tracking international filings that may misappropriate traditional knowledge.
IN-PR-R20,Patents Rules,2003,Rule,III,20,International applications designating or electing India,international/PCT applications,Details the procedures and timelines for entering the national phase in India for an international application filed under the Patent Cooperation Treaty (PCT).,Low,Low,Low,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Rules_2003.pdf,IP-IN-RULES-2003,Verified,Critical for opposing PCT applications entering India.
IN-PR-R55,Patents Rules,2003,Rule,VI,55,Opposition to the patent (Pre-grant),opposition,Procedure for pre-grant opposition under section 25(1). Representation for opposition must be filed at the appropriate office with a statement and evidence.,Medium,Medium,Medium,Low,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Rules_2003.pdf,IP-IN-RULES-2003,Verified,Governs the actual process CSIR/TKDL would use to submit evidence against an application.
IN-PR-R55A,Patents Rules,2003,Rule,VI,55A,Filing of notice of opposition (Post-grant),opposition,"The procedure for filing a notice of opposition to a granted patent under section 25(2), to be made in Form 7 and sent to the Controller in duplicate.",Medium,Medium,Medium,Low,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Rules_2003.pdf,IP-IN-RULES-2003,Verified,Procedural rule for submitting a post-grant opposition.
