provision_id,instrument,instrument_year,provision_type,chapter,section_or_rule,title,topic,summary,relevance_to_ayurveda,relevance_to_traditional_knowledge,relevance_to_biodiversity,relevance_to_patentability,source_url,source_reference,verification_status,notes
IN-PA-4,Patents Act,1970,Section,2,Section 4,Inventions relating to atomic energy not patentable,Patentability Criteria,Provision relating to inventions relating to atomic energy not patentable.,None,None,None,Critical,https://ipindia.gov.in/acts/patent-act-1970/section-4,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-5,Patents Act,1970,Section,2,Section 5,[Omitted],,Omitted provision.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-5,IP-IN-ACT-1970,Verified via Official Index,Omitted provision.
IN-PA-6,Patents Act,1970,Section,3,Section 6,Persons entitled to apply for patents,General Administration,Provision relating to persons entitled to apply for patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-6,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-7,Patents Act,1970,Section,3,Section 7,Form of application,General Administration,Provision relating to form of application.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-7,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-8,Patents Act,1970,Section,3,Section 8,Information and undertaking regarding foreign applications,General Administration,Provision relating to information and undertaking regarding foreign applications.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-8,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-9,Patents Act,1970,Section,3,Section 9,Provisional and complete specifications,Patent Prosecution,Provision relating to provisional and complete specifications.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-9,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-10,Patents Act,1970,Section,3,Section 10,Contents of specifications,Patent Prosecution,Provision relating to contents of specifications.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-10,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-S10-4-d,Patents Act,1970,Section,3,10(4)(ii)(D),Contents of specifications - disclosure of biological material,"disclosure of source/geographical origin, biological material","If the applicant mentions a biological material in the specification which may not be described in such a way as to satisfy clauses (a) and (b), and if such material is not available to the public, the application shall be completed by depositing the material... and disclose the source and geographical origin of the biological material in the specification, when used in an invention.",High,Medium,Critical,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Mandates disclosure of source/origin of Indian biological resources used in inventions.
IN-PA-11,Patents Act,1970,Section,3,Section 11,Priority dates of claims of a complete specification,Patent Prosecution,Provision relating to priority dates of claims of a complete specification.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-11,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-11A,Patents Act,1970,Section,4,Section 11A,Publication of applications,General Administration,Provision relating to publication of applications.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-11a,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-11B,Patents Act,1970,Section,4,Section 11B,Request for examination,patent examination,No application for a patent shall be examined unless the applicant or any other interested person makes a request in the prescribed manner within the prescribed period.,Low,Low,Low,Medium,https://ipindia.gov.in/acts/patent-act-1970/section-11b,IP-IN-ACT-1970,Verified via Official Index,Procedural context for patent processing.
IN-PA-12,Patents Act,1970,Section,4,Section 12,Examination of application,Patent Prosecution,Provision relating to examination of application.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-12,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-13,Patents Act,1970,Section,4,Section 13,Search for anticipation by previous publication and by prior claim,Traditional Knowledge,Provision relating to search for anticipation by previous publication and by prior claim.,None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-13,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-14,Patents Act,1970,Section,4,Section 14,Consideration of the report of examiner by Controller,General Administration,Provision relating to consideration of the report of examiner by controller.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-14,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-15,Patents Act,1970,Section,4,Section 15,"Power of Controller to refuse or require amended applications, etc., in certain case",General Administration,"Provision relating to power of controller to refuse or require amended applications, etc., in certain case.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-15,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-16,Patents Act,1970,Section,4,Section 16,Power of Controller to make orders respecting division of application,General Administration,Provision relating to power of controller to make orders respecting division of application.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-16,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-17,Patents Act,1970,Section,4,Section 17,Power of Controller to make orders respecting dating of application,General Administration,Provision relating to power of controller to make orders respecting dating of application.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-17,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-18,Patents Act,1970,Section,4,Section 18,Powers of Controller in cases of anticipation,Traditional Knowledge,Provision relating to powers of controller in cases of anticipation.,None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-18,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-19,Patents Act,1970,Section,4,Section 19,Powers of Controller in case of potential infringement,General Administration,Provision relating to powers of controller in case of potential infringement.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-19,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-20,Patents Act,1970,Section,4,Section 20,"Powers of Controller to make orders regarding substitution of applicants, etc.",General Administration,"Provision relating to powers of controller to make orders regarding substitution of applicants, etc..",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-20,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-21,Patents Act,1970,Section,4,Section 21,Time for putting application in order for grant,Patent Prosecution,Provision relating to time for putting application in order for grant.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-21,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-22,Patents Act,1970,Section,4,Section 22-24,Omitted,,Omitted provision.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-22-24-2,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-25,Patents Act,1970,Section,5,Section 25,Opposition to the patent,Patent Prosecution,Provision relating to opposition to the patent.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-25,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-S25-1-j,Patents Act,1970,Section,5,25(1)(j),Opposition to the patent (Pre-grant) - non-disclosure of biological material,"opposition, biological material, disclosure of source/geographical origin",Pre-grant opposition ground: that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Critical,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Enables third parties to oppose patents that fail to disclose or falsely claim source of biological material.
IN-PA-S25-1-k,Patents Act,1970,Section,5,25(1)(k),Opposition to the patent (Pre-grant) - anticipation by traditional knowledge,"opposition, traditional knowledge","Pre-grant opposition ground: that the invention so far as claimed in any claim of the complete specification is anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Critical,Critical,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,The primary mechanism used in conjunction with TKDL to oppose bad patents prior to grant.
IN-PA-S25-2-j,Patents Act,1970,Section,5,25(2)(j),Opposition to the patent (Post-grant) - non-disclosure of biological material,"opposition, biological material, disclosure of source/geographical origin",Post-grant opposition ground (within one year): that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Critical,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows challenging a granted patent for biological material source failure.
IN-PA-S25-2-k,Patents Act,1970,Section,5,25(2)(k),Opposition to the patent (Post-grant) - anticipation by traditional knowledge,"opposition, traditional knowledge","Post-grant opposition ground (within one year): that the invention so far as claimed in any claim of the complete specification is anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Critical,Critical,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows challenging a granted patent based on traditional knowledge.
IN-PA-26,Patents Act,1970,Section,5,Section 26,"In cases of ""obtaining"" Controller may treat the patent as the patent of opponent",General Administration,"Provision relating to in cases of ""obtaining"" controller may treat the patent as the patent of opponent.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-26,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-27,Patents Act,1970,Section,5,Section 27,Omitted,,Omitted provision.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-27,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-28,Patents Act,1970,Section,5,Section 28,Mention of inventor as such in patent,General Administration,Provision relating to mention of inventor as such in patent.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-28,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-29,Patents Act,1970,Section,6,Section 29,Anticipation by previous publication,Traditional Knowledge,Provision relating to anticipation by previous publication.,None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-29,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-30,Patents Act,1970,Section,6,Section 30,Anticipation by previous communication to Government,Traditional Knowledge,Provision relating to anticipation by previous communication to government.,None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-30,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-31,Patents Act,1970,Section,6,Section 31,"Anticipation by public display, etc",Traditional Knowledge,"Provision relating to anticipation by public display, etc.",None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-31,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-32,Patents Act,1970,Section,6,Section 32,Anticipation by public working,Traditional Knowledge,Provision relating to anticipation by public working.,None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-32,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-33,Patents Act,1970,Section,6,Section 33,Anticipation by use and publication after provisional specification,Patent Prosecution,Provision relating to anticipation by use and publication after provisional specification.,None,High,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-33,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-34,Patents Act,1970,Section,6,Section 34,"No anticipation if circumstances are only as described in sections 29,30,31 and 32",Traditional Knowledge,"Provision relating to no anticipation if circumstances are only as described in sections 29,30,31 and 32.",None,High,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-34,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-35,Patents Act,1970,Section,7,Section 35,Secrecy directions relating to inventions relevant for defence purposes,Patentability Criteria,Provision relating to secrecy directions relating to inventions relevant for defence purposes.,None,None,None,Critical,https://ipindia.gov.in/acts/patent-act-1970/section-35,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-36,Patents Act,1970,Section,7,Section 36,Secrecy directions to be periodically reviewed,General Administration,Provision relating to secrecy directions to be periodically reviewed.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-36,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-37,Patents Act,1970,Section,7,Section 37,Consequences of secrecy directions,General Administration,Provision relating to consequences of secrecy directions.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-37,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-38,Patents Act,1970,Section,7,Section 38,Revocation of secrecy directions and extension of time,Patent Prosecution,Provision relating to revocation of secrecy directions and extension of time.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-38,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-39,Patents Act,1970,Section,7,Section 39,Residents not to apply for patents outside India without prior permission,General Administration,Provision relating to residents not to apply for patents outside india without prior permission.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-39,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-40,Patents Act,1970,Section,7,Section 40,Liability for contravention of section 35 or section 39,General Administration,Provision relating to liability for contravention of section 35 or section 39.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-40,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-41,Patents Act,1970,Section,7,Section 41,Finality of orders of Controller and Central Government,General Administration,Provision relating to finality of orders of controller and central government.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-41,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-42,Patents Act,1970,Section,7,Section 42,Savings respecting disclosure to Government,General Administration,Provision relating to savings respecting disclosure to government.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-42,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-43,Patents Act,1970,Section,8,Section 43,Grant of patents,Patent Prosecution,Provision relating to grant of patents.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-43,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-44,Patents Act,1970,Section,8,Section 44,Amendment of patent granted to deceased applicant,Patent Prosecution,Provision relating to amendment of patent granted to deceased applicant.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-44,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-45,Patents Act,1970,Section,8,Section 45,Date of patent,General Administration,Provision relating to date of patent.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-45,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-46,Patents Act,1970,Section,8,Section 46,"Form, extent and effect of patent",General Administration,"Provision relating to form, extent and effect of patent.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-46,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-47,Patents Act,1970,Section,8,Section 47,Grant of patents to be subject to certain conditions,Patent Prosecution,Provision relating to grant of patents to be subject to certain conditions.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-47,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-48,Patents Act,1970,Section,8,Section 48,Rights of patentees,General Administration,Provision relating to rights of patentees.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-48,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-49,Patents Act,1970,Section,8,Section 49,"Patent rights not infringed when used on foreign vessels etc., temporarily or accidentally in India",General Administration,"Provision relating to patent rights not infringed when used on foreign vessels etc., temporarily or accidentally in india.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-49,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-50,Patents Act,1970,Section,8,Section 50,Rights of co-owners of patents,General Administration,Provision relating to rights of co-owners of patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-50,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-51,Patents Act,1970,Section,8,Section 51,Power of Controller to give directions to co-owners,General Administration,Provision relating to power of controller to give directions to co-owners.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-51,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-52,Patents Act,1970,Section,8,Section 52,Grant of patent to true and first inventor where it has been obtained by another in fraud of him,Patent Prosecution,Provision relating to grant of patent to true and first inventor where it has been obtained by another in fraud of him.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-52,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-53,Patents Act,1970,Section,8,Section 53,Term of patent,General Administration,Provision relating to term of patent.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-53,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-54,Patents Act,1970,Section,9,Section 54,Patents of addition,General Administration,Provision relating to patents of addition.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-54,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-55,Patents Act,1970,Section,9,Section 55,Term of patents of addition,General Administration,Provision relating to term of patents of addition.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-55,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-56,Patents Act,1970,Section,9,Section 56,Validity of patents of addition,General Administration,Provision relating to validity of patents of addition.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-56,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-57,Patents Act,1970,Section,10,Section 57,Amendment of application and specification or any document related thereto before Controller,Patent Prosecution,Provision relating to amendment of application and specification or any document related thereto before controller.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-57,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-58,Patents Act,1970,Section,10,Section 58,Amendment of specification before Appellate Board or High Court,Patent Prosecution,Provision relating to amendment of specification before appellate board or high court.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-58,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-59,Patents Act,1970,Section,10,Section 59,Supplementary provisions as to amendment of application or specification,Patent Prosecution,Provision relating to supplementary provisions as to amendment of application or specification.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-59,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-60,Patents Act,1970,Section,11,Section 60,Applications for restoration of lapsed patents,General Administration,Provision relating to applications for restoration of lapsed patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-60,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-61,Patents Act,1970,Section,11,Section 61,Procedure for disposal of applications for restoration of lapsed patents,General Administration,Provision relating to procedure for disposal of applications for restoration of lapsed patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/61,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-62,Patents Act,1970,Section,11,Section 62,Rights of patentees of lapsed patents which have been restored,General Administration,Provision relating to rights of patentees of lapsed patents which have been restored.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-62,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-63,Patents Act,1970,Section,12,Section 63,Surrender of patents,General Administration,Provision relating to surrender of patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-63,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-64,Patents Act,1970,Section,12,Section 64,Revocation of patents,Patent Prosecution,Provision relating to revocation of patents.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-64,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-S64-1-p,Patents Act,1970,Section,12,64(1)(p),Revocation of patents - non-disclosure of biological material,"revocation, biological material, disclosure of source/geographical origin",Ground for revocation: that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Critical,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows revocation of a patent at any time during its term on this ground.
IN-PA-S64-1-q,Patents Act,1970,Section,12,64(1)(q),Revocation of patents - anticipation by traditional knowledge,"revocation, traditional knowledge","Ground for revocation: that the invention so far as claimed in any claim of the complete specification was anticipated having regard to the knowledge, oral or otherwise, available within any local or indigenous community in India or elsewhere.",Critical,Critical,Medium,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Allows revocation of a patent at any time during its term based on traditional knowledge.
IN-PA-65,Patents Act,1970,Section,12,Section 65,Revocation of patent or amendment of complete specification on directions from Government in cases relating to atomic energy,Patent Prosecution,Provision relating to revocation of patent or amendment of complete specification on directions from government in cases relating to atomic energy.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-65,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-66,Patents Act,1970,Section,12,Section 66,Revocation of patent in public interest,Patent Prosecution,Provision relating to revocation of patent in public interest.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-66,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-67,Patents Act,1970,Section,13,Section 67,Register of patents and particulars to be entered therein,General Administration,Provision relating to register of patents and particulars to be entered therein.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-67,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-68,Patents Act,1970,Section,13,Section 68,"Assignments, etc., not to be valid unless in writing and duly executed",General Administration,"Provision relating to assignments, etc., not to be valid unless in writing and duly executed.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-68,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-69,Patents Act,1970,Section,13,Section 69,"Registration of assignments, transmissions, etc",General Administration,"Provision relating to registration of assignments, transmissions, etc.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-69,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-70,Patents Act,1970,Section,13,Section 70,Power of registered grantee or proprietor to deal with patent,Patent Prosecution,Provision relating to power of registered grantee or proprietor to deal with patent.,None,None,None,High,https://ipindia.gov.in/acts/patent-act-1970/section-70,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-71,Patents Act,1970,Section,13,Section 71,Rectification of register by Appellate Board,General Administration,Provision relating to rectification of register by appellate board.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-71,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-72,Patents Act,1970,Section,13,Section 72,Register to be open for inspection,General Administration,Provision relating to register to be open for inspection.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-72,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-73,Patents Act,1970,Section,14,Section 73,Controller and other officers,General Administration,Provision relating to controller and other officers.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-73,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-74,Patents Act,1970,Section,14,Section 74,Patent office and its branches,General Administration,Provision relating to patent office and its branches.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-74,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-75,Patents Act,1970,Section,14,Section 75,Restriction on employees of patent office as to right or interest in patents,General Administration,Provision relating to restriction on employees of patent office as to right or interest in patents.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-75,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-76,Patents Act,1970,Section,14,Section 76,"Officers and employees not to furnish information, etc",General Administration,"Provision relating to officers and employees not to furnish information, etc.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-76,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-77,Patents Act,1970,Section,15,Section 77,Controller to have certain powers of a civil court,General Administration,Provision relating to controller to have certain powers of a civil court.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-77,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-78,Patents Act,1970,Section,15,Section 78,"Power of Controller to correct clerical errors, etc",General Administration,"Provision relating to power of controller to correct clerical errors, etc.",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-78,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-79,Patents Act,1970,Section,15,Section 79,Evidence how to be given and powers of Controller in respect thereof,General Administration,Provision relating to evidence how to be given and powers of controller in respect thereof.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-79,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-80,Patents Act,1970,Section,15,Section 80,Exercise of discretionary powers by Controller,General Administration,Provision relating to exercise of discretionary powers by controller.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-80,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-81,Patents Act,1970,Section,15,Section 81,Disposal by Controller of applications for extension of time,General Administration,Provision relating to disposal by controller of applications for extension of time.,None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-81,IP-IN-ACT-1970,Verified via Official Index,
IN-PA-82,Patents Act,1970,Section,16,Section 82,"Definition of ""patented articles"" and ""patentee""",General Administration,"Provision relating to definition of ""patented articles"" and ""patentee"".",None,None,None,None,https://ipindia.gov.in/acts/patent-act-1970/section-82,IP-IN-ACT-1970,Verified via Official Index,
